i,j
156,344
156,392
392,156
276,826
528,276
410,156
276,528
56,276
528,56
276,56
276,40
276,724
156,276
156,410
392,410
826,276
56,528
276,616
40,276
528,826
156,826
276,156
643,528
156,528
276,643
203,276
392,344
826,372
616,276
276,203
56,826
682,392
784,392
156,702
826,528
458,702
36,392
156,124
276,752
724,276
702,344
410,392
156,643
392,764
360,392
826,56
702,156
344,156
392,276
348,276
702,458
724,620
372,826
156,36
276,348
36,156
724,826
372,56
392,702
826,724
643,276
682,410
410,344
634,392
764,392
392,826
752,276
458,156
458,392
643,804
392,528
643,112
392,458
702,360
528,724
764,156
643,156
682,156
392,36
208,276
76,32
620,724
643,826
208,752
56,724
608,156
24,156
752,208
804,643
643,792
410,702
372,276
792,276
36,410
703,276
392,124
364,156
124,826
410,276
360,702
643,398
643,616
784,410
364,392
752,826
392,484
392,643
360,156
76,156
643,246
484,124
152,156
32,76
826,752
203,703
702,36
246,752
608,392
246,276
752,246
124,156
792,826
246,643
360,410
76,528
634,410
124,392
458,764
764,344
528,752
414,392
112,643
410,484
458,344
616,826
682,702
764,702
410,643
724,528
643,392
752,528
764,458
76,276
702,392
528,643
752,56
826,124
458,410
208,826
608,344
616,203
826,156
414,410
710,392
152,392
702,764
702,410
826,392
724,56
410,826
56,442
702,704
703,203
702,826
203,616
458,528
36,554
528,616
410,458
784,364
764,36
512,156
56,752
620,276
616,643
702,608
704,392
608,702
528,208
642,276
784,764
203,826
458,36
410,704
554,36
364,410
710,276
826,36
528,40
398,156
360,458
710,826
56,616
203,40
410,360
372,724
458,360
702,276
528,203
36,826
12,724
40,826
616,804
458,276
170,862
124,484
705,276
566,76
32,156
616,528
246,826
40,203
40,348
792,724
410,36
344,826
246,528
752,724
528,156
372,528
764,360
792,643
56,156
682,784
566,724
634,702
398,643
76,484
76,862
12,124
616,752
364,792
484,276
710,156
12,528
56,643
76,392
40,724
348,826
203,528
724,484
56,376
112,528
76,152
414,702
348,642
566,56
724,792
32,152
795,804
344,458
724,504
784,702
344,702
764,826
36,764
348,40
682,764
616,724
764,704
152,410
682,528
442,276
682,724
616,348
360,36
124,276
484,724
208,528
752,616
784,512
504,724
376,56
152,528
434,276
76,643
616,56
804,792
348,616
704,36
348,703
682,586
792,642
124,528
203,348
360,764
764,528
372,392
752,156
682,710
458,826
360,276
76,826
76,724
752,643
40,643
40,616
703,616
764,276
724,616
203,56
152,76
764,410
76,56
348,203
703,348
703,40
36,702
710,72
792,784
512,392
620,826
704,156
710,528
203,724
246,156
710,516
724,156
604,156
608,276
512,410
348,643
792,528
764,608
484,170
40,642
124,56
784,368
724,643
