i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
124,842,270900.0,56298507.291,56298507.291,605141.071,1383.929,12346992.639,0.0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,271000.0,12346992.639,56298507.291,605141.071,1383.929,12346992.639,0.0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,847192.0,7444.829,56298507.291,605141.071,1383.929,12346992.639,0.0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,847193.0,609.987,56298507.291,605141.071,1383.929,12346992.639,0.0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,847330.0,0.0,56298507.291,605141.071,1383.929,12346992.639,0.0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,854211.0,1383.929,56298507.291,605141.071,1383.929,12346992.639,0.0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,870322.0,87710.335,56298507.291,605141.071,1383.929,12346992.639,0.0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,870323.0,605141.071,56298507.291,605141.071,1383.929,12346992.639,0.0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,870324.0,2228994.888,56298507.291,605141.071,1383.929,12346992.639,0.0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,870899.0,906246.562,56298507.291,605141.071,1383.929,12346992.639,0.0,2228994.888,906246.562,7444.829,609.987,87710.335
842,124,270900.0,916174.744,916174.744,385879.319,3192.806,2008724.398,0.0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,271000.0,2008724.398,916174.744,385879.319,3192.806,2008724.398,0.0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,847192.0,10522.199,916174.744,385879.319,3192.806,2008724.398,0.0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,847193.0,2993.906,916174.744,385879.319,3192.806,2008724.398,0.0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,847330.0,0.0,916174.744,385879.319,3192.806,2008724.398,0.0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,854211.0,3192.806,916174.744,385879.319,3192.806,2008724.398,0.0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,870322.0,3007.71,916174.744,385879.319,3192.806,2008724.398,0.0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,870323.0,385879.319,916174.744,385879.319,3192.806,2008724.398,0.0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,870324.0,419140.761,916174.744,385879.319,3192.806,2008724.398,0.0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,870899.0,240553.98,916174.744,385879.319,3192.806,2008724.398,0.0,419140.761,240553.98,10522.199,2993.906,3007.71
392,842,270900.0,38.289,38.289,913520.895,11644.807,21797.016,47252.562,553384.624,180132.043,37981.686,24100.263,199332.893
392,842,271000.0,21797.016,38.289,913520.895,11644.807,21797.016,47252.562,553384.624,180132.043,37981.686,24100.263,199332.893
392,842,847192.0,37981.686,38.289,913520.895,11644.807,21797.016,47252.562,553384.624,180132.043,37981.686,24100.263,199332.893
392,842,847193.0,24100.263,38.289,913520.895,11644.807,21797.016,47252.562,553384.624,180132.043,37981.686,24100.263,199332.893
392,842,847330.0,47252.562,38.289,913520.895,11644.807,21797.016,47252.562,553384.624,180132.043,37981.686,24100.263,199332.893
392,842,854211.0,11644.807,38.289,913520.895,11644.807,21797.016,47252.562,553384.624,180132.043,37981.686,24100.263,199332.893
392,842,870322.0,199332.893,38.289,913520.895,11644.807,21797.016,47252.562,553384.624,180132.043,37981.686,24100.263,199332.893
392,842,870323.0,913520.895,38.289,913520.895,11644.807,21797.016,47252.562,553384.624,180132.043,37981.686,24100.263,199332.893
392,842,870324.0,553384.624,38.289,913520.895,11644.807,21797.016,47252.562,553384.624,180132.043,37981.686,24100.263,199332.893
392,842,870899.0,180132.043,38.289,913520.895,11644.807,21797.016,47252.562,553384.624,180132.043,37981.686,24100.263,199332.893
484,842,270900.0,59800607.705,59800607.705,396305.248,9878.566,1843412.694,17528.792,253783.312,86052.863,123253.56,412.562,117941.312
484,842,271000.0,1843412.694,59800607.705,396305.248,9878.566,1843412.694,17528.792,253783.312,86052.863,123253.56,412.562,117941.312
484,842,847192.0,123253.56,59800607.705,396305.248,9878.566,1843412.694,17528.792,253783.312,86052.863,123253.56,412.562,117941.312
484,842,847193.0,412.562,59800607.705,396305.248,9878.566,1843412.694,17528.792,253783.312,86052.863,123253.56,412.562,117941.312
484,842,847330.0,17528.792,59800607.705,396305.248,9878.566,1843412.694,17528.792,253783.312,86052.863,123253.56,412.562,117941.312
