i,j
124,842
842,124
484,842
156,842
392,842
842,484
156,344
276,842
156,392
276,826
392,156
842,392
528,276
826,842
56,276
276,528
276,56
276,40
410,156
410,842
842,826
392,410
276,724
842,276
826,276
528,56
842,156
392,344
56,528
40,276
528,826
372,842
842,410
458,842
56,826
156,276
156,410
826,528
826,372
276,156
842,528
276,203
276,616
203,276
724,276
344,156
826,56
616,276
410,392
156,826
76,842
682,842
392,276
458,702
372,826
842,702
392,764
702,842
360,392
392,826
276,752
56,842
724,826
724,620
842,56
410,344
764,842
348,276
826,724
276,392
36,392
392,702
842,344
842,36
276,643
372,56
156,528
682,392
372,276
784,392
862,842
376,842
702,344
702,458
458,392
752,842
528,842
392,458
764,392
566,842
208,276
392,528
392,36
702,156
156,124
752,276
608,842
156,702
344,842
360,842
56,724
528,724
392,608
392,124
643,528
156,36
682,410
702,360
208,752
792,276
643,804
643,156
643,276
752,826
620,724
458,156
703,276
643,112
364,392
360,702
608,392
752,208
458,344
156,458
724,842
826,752
36,156
634,392
170,842
124,392
246,276
826,392
36,842
764,156
156,724
410,276
36,410
826,124
764,702
702,392
484,124
208,826
124,826
724,528
528,752
752,246
784,410
246,752
643,842
643,826
12,842
752,528
608,344
360,410
620,276
410,702
56,442
724,56
36,826
752,56
76,156
32,76
40,842
214,842
643,616
458,764
36,554
112,643
76,32
410,826
682,156
344,826
764,344
643,246
804,643
372,528
360,156
368,842
702,410
704,842
76,528
246,826
702,826
410,458
246,842
710,842
702,276
710,826
40,826
344,702
792,826
826,344
24,842
208,842
764,458
414,392
152,842
792,842
608,156
246,643
826,208
203,703
702,764
124,156
826,36
458,410
682,702
643,196
554,36
528,208
458,528
32,152
56,752
76,276
410,36
40,348
702,528
348,40
643,398
620,826
710,72
410,360
752,724
710,392
528,40
372,392
643,792
32,842
780,842
458,826
203,40
410,124
704,392
410,608
458,276
12,724
784,364
702,608
702,36
764,826
56,376
705,276
188,842
372,724
642,276
414,410
76,484
586,842
344,410
364,156
528,643
616,826
56,156
528,616
608,702
634,410
703,203
458,36
702,704
208,528
72,826
360,458
528,372
710,276
203,826
724,484
40,203
32,156
218,842
752,156
360,36
604,842
554,842
152,392
246,528
616,528
76,392
56,40
56,392
764,36
203,616
344,276
36,702
50,842
608,276
442,276
608,458
528,300
40,724
764,360
512,392
344,458
124,276
398,60
616,203
764,528
376,56
340,842
414,842
764,276
724,504
76,826
682,528
862,528
124,484
208,392
512,410
348,826
566,724
724,792
616,752
266,842
208,724
752,392
682,710
360,276
398,643
608,528
203,528
152,156
24,156
76,152
620,842
608,410
208,246
792,724
458,360
554,392
76,56
36,344
144,842
434,276
434,724
724,300
704,156
784,764
40,528
344,608
348,842
484,276
96,392
752,616
616,56
116,842
512,156
344,784
300,276
360,826
504,724
414,702
764,410
784,702
608,826
682,724
348,528
398,156
36,764
764,608
724,616
246,156
12,528
703,40
364,410
360,764
76,724
682,784
616,643
124,410
36,360
360,724
40,705
484,724
40,616
76,643
246,56
792,528
360,528
620,56
616,804
704,36
795,804
784,826
682,764
246,724
804,276
710,528
710,156
344,392
724,40
600,76
752,124
442,56
360,344
40,56
12,124
484,392
32,724
608,764
12,792
616,348
376,826
792,643
372,752
784,586
124,56
344,528
887,156
616,842
764,704
566,76
634,702
760,276
76,410
682,360
446,842
376,276
40,703
203,842
364,792
620,528
682,586
484,156
40,643
36,458
364,710
246,784
616,724
376,344
372,124
512,764
348,724
246,208
616,208
642,826
233,246
36,682
246,233
710,748
50,276
344,764
50,826
376,528
784,344
208,372
604,826
320,842
208,56
124,528
703,842
710,516
203,348
705,191
792,376
12,76
586,784
804,156
124,36
152,410
32,528
598,36
372,36
300,826
203,56
348,56
703,616
704,276
348,616
818,842
203,724
792,56
208,616
704,702
703,348
348,752
710,724
784,842
710,56
348,642
344,704
804,792
705,40
554,156
704,826
788,276
434,792
152,484
484,826
348,203
364,724
586,826
792,300
112,826
384,528
642,792
804,348
792,642
533,842
364,784
784,682
400,842
784,512
300,842
784,56
442,826
124,344
364,300
887,764
208,156
792,682
152,76
191,70
566,360
100,276
554,826
372,344
348,703
376,156
226,842
792,368
372,484
710,716
104,764
12,56
32,484
152,528
760,682
566,392
32,276
170,218
426,842
484,533
804,616
818,826
233,752
152,826
300,100
440,276
484,528
376,392
191,276
566,620
566,276
620,24
144,826
152,276
504,826
804,842
170,862
178,156
558,842
642,842
484,170
368,124
440,643
792,784
784,156
348,643
100,792
586,276
608,484
862,170
414,528
604,156
608,124
180,56
705,842
100,300
862,192
218,604
226,724
642,40
203,643
364,702
642,528
233,643
554,410
804,760
440,428
642,348
300,196
484,76
152,604
376,724
188,156
566,288
484,320
364,752
300,724
703,528
480,826
414,586
203,752
704,410
512,842
152,724
760,792
364,608
608,36
352,276
12,620
400,368
704,56
428,826
804,528
120,724
32,858
442,528
804,642
300,792
320,222
586,344
748,710
484,56
376,764
191,705
414,826
705,70
233,276
192,124
554,56
414,360
554,276
566,384
858,76
68,76
96,410
191,40
440,826
704,528
804,498
566,528
152,124
704,360
48,682
414,156
703,826
834,826
642,300
96,842
620,40
376,792
704,458
44,842
428,276
440,752
788,56
112,276
32,818
364,528
100,56
862,484
32,604
32,600
376,124
398,364
634,764
398,804
504,276
32,410
804,364
112,616
352,826
384,842
703,56
504,842
188,528
604,152
430,276
112,528
788,724
170,528
192,528
512,458
620,752
804,818
388,842
860,643
12,826
586,4
566,710
705,643
178,842
170,604
404,800
818,276
716,710
428,752
188,458
604,392
300,528
818,724
222,842
862,780
100,842
50,56
218,170
470,842
428,842
586,156
96,36
288,826
233,428
516,710
862,124
300,8
703,724
780,388
440,208
222,320
446,156
642,724
442,792
300,642
862,218
480,842
554,124
705,616
434,620
170,484
642,56
112,804
226,156
170,214
586,682
586,724
352,528
862,826
116,344
788,434
12,276
760,368
112,428
554,458
368,400
498,643
760,400
404,826
554,344
48,842
300,643
300,807
332,842
96,764
760,458
434,300
434,788
591,320
591,842
620,208
470,826
642,156
178,410
818,760
516,24
760,422
28,276
860,826
384,724
634,784
304,208
748,842
600,32
442,724
508,56
554,608
12,818
604,724
705,826
760,842
634,842
470,276
604,276
760,191
442,752
170,276
50,528
862,604
434,826
634,156
788,826
862,156
450,842
104,842
470,484
368,724
705,203
440,233
196,826
586,528
226,124
504,528
566,124
598,392
620,702
96,156
442,842
807,276
116,276
818,682
320,340
862,76
703,643
440,616
440,842
504,56
72,710
642,100
96,702
116,826
188,320
496,156
586,56
50,724
760,818
600,858
170,826
120,528
440,528
112,440
705,348
858,842
894,826
368,760
50,124
218,643
144,276
398,792
398,276
24,56
398,842
368,528
300,56
188,826
586,410
862,724
100,642
218,591
48,410
368,76
218,410
233,826
818,528
218,276
68,842
634,724
191,842
705,528
428,208
170,56
470,156
24,410
634,682
703,804
604,76
352,842
188,392
768,566
440,112
242,842
112,842
860,50
170,724
170,124
398,616
591,566
586,792
12,360
446,276
70,191
100,724
398,784
428,440
780,52
818,792
504,392
100,826
788,528
887,410
598,156
233,804
144,56
70,276
504,76
170,392
512,364
398,528
233,440
516,724
170,188
266,156
384,276
31,203
188,484
400,682
404,528
705,724
188,276
404,842
524,842
818,410
760,724
144,392
31,276
188,344
404,834
120,842
288,528
192,862
388,124
604,170
760,12
807,300
233,208
860,156
12,788
192,724
760,434
604,410
887,458
384,56
512,702
446,344
112,156
188,558
818,422
222,340
428,233
604,528
414,682
496,842
716,894
48,392
266,780
188,222
188,591
188,203
591,276
68,170
100,40
434,40
233,528
504,156
400,760
428,643
242,36
180,842
818,300
591,410
233,842
795,31
598,276
96,458
388,826
384,826
604,218
442,300
352,724
50,392
352,208
414,704
516,826
442,156
104,156
100,807
188,340
858,32
320,188
512,784
780,328
104,826
68,862
320,558
504,702
414,764
52,320
854,768
218,724
442,40
192,643
887,702
31,643
858,276
266,392
508,710
516,842
51,826
48,834
634,608
860,804
288,276
417,784
48,404
44,724
384,566
51,376
442,620
740,842
144,643
716,826
894,682
422,760
31,376
512,554
214,332
104,392
404,586
768,466
50,752
320,484
84,842
470,344
340,222
686,466
51,56
218,392
894,710
446,826
100,528
112,76
144,344
591,862
218,222
894,834
748,716
100,643
384,288
384,226
384,643
422,368
268,792
748,508
591,56
591,188
328,842
196,300
795,792
422,682
400,784
780,124
120,156
196,276
591,222
70,705
512,682
591,340
218,528
266,410
788,40
48,826
233,56
384,854
31,268
478,392
324,410
788,12
96,360
196,376
598,826
768,854
430,616
328,124
242,826
48,784
50,702
112,208
31,792
50,40
598,360
288,392
214,124
192,156
508,724
96,554
558,222
116,392
887,392
112,348
50,208
834,392
144,784
48,764
780,740
222,188
858,156
368,792
120,826
268,300
887,682
470,410
422,784
591,392
384,616
478,724
104,276
860,364
116,702
384,233
428,528
191,300
328,826
788,842
716,392
422,792
716,276
144,528
504,484
191,430
222,558
470,392
231,262
417,643
780,214
591,214
716,528
288,842
860,792
191,826
768,528
50,344
788,792
388,156
858,484
116,704
418,764
470,348
340,320
388,276
320,591
694,56
498,642
191,470
400,376
51,643
426,710
591,124
112,760
368,364
288,792
860,392
368,392
400,156
508,276
858,124
68,604
430,300
428,246
690,826
288,56
120,56
404,276
268,643
352,392
218,56
854,288
834,528
191,348
48,480
191,392
324,724
24,360
834,404
740,56
858,826
31,364
634,512
352,620
860,398
340,276
214,826
288,724
231,276
140,56
858,724
795,842
404,646
422,842
807,842
404,818
780,484
48,458
858,152
144,462
388,528
222,826
860,842
72,764
454,842
48,36
72,716
598,842
634,826
324,842
858,764
860,410
104,458
31,842
762,348
44,616
591,218
218,152
204,854
480,450
218,388
807,191
400,392
598,608
24,392
434,528
788,504
288,204
324,643
144,760
800,404
470,56
498,276
716,156
144,124
214,410
780,60
454,710
404,180
404,4
116,124
634,554
104,702
498,804
400,12
104,50
882,36
266,620
214,528
340,124
31,300
512,826
858,528
762,643
768,288
591,616
266,702
598,702
480,276
204,156
887,608
795,276
686,384
894,392
428,804
887,842
31,191
320,410
780,862
780,826
562,566
434,56
894,180
44,320
178,780
686,724
288,804
320,124
417,398
268,760
324,372
598,554
600,170
470,434
434,191
450,276
51,842
646,360
430,842
324,56
400,364
422,414
600,842
180,246
418,704
512,724
24,152
462,842
780,308
780,662
178,76
800,528
68,32
275,616
204,466
788,616
470,792
120,276
340,56
508,620
422,400
434,504
446,528
428,616
268,795
894,764
470,724
70,40
762,792
400,422
716,454
44,600
368,300
222,591
659,842
768,204
690,682
558,188
748,410
748,826
600,724
807,528
20,724
454,276
478,56
214,56
24,276
598,410
598,764
8,300
214,276
834,276
716,72
422,364
368,410
340,616
196,440
404,231
214,724
320,276
4,842
858,600
450,480
84,826
780,724
120,410
352,566
887,512
583,764
44,484
446,124
68,152
268,826
478,276
320,643
480,56
288,156
120,148
508,826
231,392
716,842
795,642
858,392
51,276
400,458
894,410
834,56
222,484
558,340
242,392
834,710
686,270
584,616
352,56
31,724
795,398
52,842
894,156
324,826
324,276
268,724
231,682
508,454
214,392
196,616
496,643
498,112
178,56
222,276
422,12
860,56
120,266
795,616
340,484
44,702
508,748
600,152
324,804
96,826
508,528
498,842
690,764
800,826
454,826
422,818
116,528
807,826
480,724
340,188
340,826
320,214
192,214
716,508
320,682
430,156
352,752
466,702
44,218
860,276
328,388
795,364
558,484
328,620
178,620
60,752
516,156
262,231
496,702
242,554
496,36
894,818
316,392
68,826
686,204
686,478
31,762
120,710
44,124
268,804
807,792
860,417
340,724
716,724
52,826
266,826
340,528
196,792
516,178
446,724
524,276
196,528
288,124
562,392
192,276
807,56
31,40
116,724
466,764
533,76
214,246
800,710
340,558
340,392
320,84
516,276
508,716
268,51
795,300
516,84
231,842
120,780
480,528
624,702
894,56
116,156
454,528
44,826
320,528
686,324
894,528
686,854
854,156
478,643
4,586
800,56
24,724
480,392
690,276
748,36
686,624
196,818
104,124
496,826
466,826
740,528
90,156
762,100
598,528
52,780
196,422
686,566
24,858
328,780
328,56
68,616
104,410
422,360
178,724
600,760
748,554
466,686
558,320
807,100
454,392
887,710
894,454
266,724
450,702
8,276
584,764
686,300
388,392
196,56
740,352
268,276
600,218
196,400
418,276
748,404
222,214
222,643
454,404
388,752
51,364
887,360
795,643
480,344
192,484
548,764
462,144
524,156
180,156
807,705
478,384
834,894
516,124
686,56
196,842
72,842
266,504
72,620
558,124
454,818
807,70
214,388
70,300
800,842
854,50
446,208
417,156
480,710
324,120
51,528
834,842
68,484
324,566
324,124
450,826
762,703
388,724
480,620
231,826
418,826
60,826
222,724
800,344
584,276
266,276
60,724
800,646
454,620
68,392
768,562
304,156
800,276
72,376
807,12
446,392
148,842
52,388
600,604
800,724
558,826
192,392
268,842
222,124
72,124
90,410
231,792
192,76
44,300
598,724
418,56
266,528
192,620
68,528
646,404
430,724
324,642
70,348
662,826
72,392
854,764
462,764
70,724
694,276
268,528
328,52
204,360
600,156
214,192
116,40
388,780
762,616
533,826
498,40
466,384
24,528
204,764
834,724
690,724
388,643
204,566
740,328
480,566
417,762
450,392
328,528
583,842
296,392
834,344
600,504
516,56
834,108
516,528
478,120
68,410
72,276
748,620
388,642
231,56
583,392
762,156
417,392
116,764
887,724
180,826
584,50
450,710
90,392
268,31
748,480
834,410
16,360
795,724
462,826
690,392
524,826
242,16
51,784
116,458
558,643
304,764
231,887
44,276
662,842
558,724
180,894
466,156
417,860
316,583
231,376
242,776
148,276
748,528
762,233
533,188
450,724
768,156
204,768
454,508
304,276
478,12
762,203
8,36
740,156
762,364
498,620
388,214
148,620
800,178
446,752
646,800
498,300
426,124
178,120
670,724
800,702
478,620
180,392
508,344
854,170
584,152
748,764
670,300
462,392
308,842
740,392
585,392
466,276
854,562
478,156
222,392
533,862
417,682
84,388
332,124
204,562
178,170
674,724
533,528
854,466
466,50
516,643
417,124
694,826
454,643
304,458
562,842
508,392
624,566
450,56
316,410
51,268
222,398
533,32
140,724
70,528
450,124
178,528
768,842
204,50
70,842
180,276
20,276
52,662
90,608
70,703
450,528
768,554
768,36
478,566
454,56
466,324
8,56
496,124
178,392
28,826
740,52
180,620
242,882
52,203
418,528
132,620
690,462
498,792
70,807
60,528
446,702
762,56
430,826
562,288
454,894
662,780
690,842
533,340
417,842
304,392
212,826
466,144
548,360
418,156
275,400
558,276
308,566
70,442
450,764
84,392
533,56
498,56
498,348
795,268
450,344
52,670
242,344
659,826
498,398
740,388
426,56
762,12
854,204
562,724
417,792
270,598
212,388
96,566
690,364
533,320
28,842
674,842
478,300
204,686
417,428
533,484
776,842
496,392
670,842
854,392
226,120
466,56
140,360
417,56
674,826
328,740
84,528
524,392
304,352
496,410
430,208
882,16
108,276
776,392
60,320
584,300
204,208
51,804
52,308
548,392
646,276
533,724
4,50
496,484
90,764
8,724
478,288
304,842
8,40
262,512
524,124
854,384
4,56
108,56
533,218
418,392
60,616
690,480
90,702
52,328
496,276
558,214
24,76
140,276
328,28
84,780
72,894
174,276
659,124
694,842
204,120
562,384
4,643
108,842
52,28
430,862
430,50
328,276
417,4
562,528
558,528
242,276
4,246
226,528
524,50
242,620
262,586
524,620
584,842
52,212
72,300
52,659
462,702
662,52
670,616
462,124
430,792
796,124
418,724
8,807
51,300
84,320
84,566
84,458
670,826
328,344
4,276
796,842
430,410
148,504
270,826
462,360
308,662
242,156
84,484
132,842
8,792
670,52
52,372
51,156
646,834
28,740
646,826
670,780
96,276
140,620
418,842
418,124
882,826
242,296
584,826
496,804
882,842
242,798
690,710
496,344
212,392
524,56
524,724
96,344
72,56
275,528
418,616
174,842
670,662
16,218
418,752
8,842
60,410
212,28
180,710
108,528
562,204
548,616
60,300
226,604
548,36
275,818
262,818
308,528
662,212
690,450
740,780
524,702
462,276
316,702
584,392
8,643
212,328
226,620
308,752
8,818
148,724
226,276
626,842
60,862
90,36
662,670
646,528
84,124
60,188
462,458
90,704
212,842
646,156
646,344
20,410
180,724
212,780
646,56
28,288
20,56
308,276
562,826
562,854
20,620
624,620
180,716
8,826
496,398
882,554
646,842
84,372
678,528
148,616
580,344
308,56
670,28
662,308
678,620
332,56
332,214
148,203
60,233
148,156
140,792
16,392
674,470
60,508
580,484
4,792
882,392
694,528
140,826
212,616
740,643
690,528
212,724
304,826
60,842
20,826
140,120
462,834
670,360
674,56
694,124
462,344
548,702
90,458
580,826
670,56
20,72
140,156
332,276
262,344
212,52
308,659
304,620
140,842
646,180
140,376
4,392
212,704
740,276
316,344
646,764
670,804
678,124
624,842
84,710
226,792
140,392
4,208
585,842
84,764
90,450
796,76
90,50
212,659
226,504
548,50
583,608
16,36
646,586
796,566
148,50
584,608
4,760
646,50
674,616
694,724
132,826
304,643
4,376
308,52
332,724
304,616
212,404
332,484
332,826
562,72
275,842
174,702
270,276
4,788
562,768
148,56
670,212
275,682
670,308
16,124
90,344
16,50
20,340
212,662
583,316
270,156
562,516
626,360
226,56
548,598
108,646
426,826
174,392
624,591
659,276
296,764
583,480
64,50
90,276
548,480
674,620
548,276
296,50
108,156
90,480
148,410
674,682
28,616
64,608
28,624
776,554
624,686
108,826
28,566
678,704
882,344
580,566
462,528
580,392
275,826
308,28
16,646
296,842
462,724
140,764
662,276
462,591
270,56
548,344
678,276
678,40
694,208
108,710
308,670
624,156
148,705
132,76
28,800
270,466
882,276
694,40
548,242
662,659
308,724
270,458
28,724
678,608
694,404
694,504
426,392
28,792
674,528
270,624
798,608
332,704
798,826
28,662
20,788
674,203
275,276
316,608
108,246
174,528
882,566
678,56
28,348
108,800
20,12
583,344
174,480
626,566
308,124
262,32
108,616
270,528
174,124
