,epoch,train,val
0,0,5.962782354578761e+23,1.8029002088266245e+24
1,10,5.9645680756036196e+23,1.8028992544759524e+24
2,20,5.953492377899628e+23,1.8028852496357496e+24
3,30,5.937746926953219e+23,1.8028356096758237e+24
4,40,5.931060398436716e+23,1.8027221485520655e+24
5,50,5.94971664792711e+23,1.8025500263787694e+24
6,60,5.9333882624022176e+23,1.8023052709004905e+24
7,70,5.9659868051789455e+23,1.801935425677818e+24
8,80,5.9261390981391366e+23,1.80150999505279e+24
9,90,5.9483384566475385e+23,1.8011551567252526e+24
10,100,5.937381773208297e+23,1.8006770696097837e+24
11,110,5.9346794004234346e+23,1.7999337317082966e+24
12,120,5.92932992176214e+23,1.7994204478728791e+24
13,130,5.9025781839975216e+23,1.7991977181572608e+24
14,140,5.892472436912906e+23,1.7987545318884593e+24
15,150,5.941622538556321e+23,1.797860956765196e+24
16,160,5.9066461803685714e+23,1.7976382953869177e+24
17,170,5.905051683502978e+23,1.7966795756452136e+24
18,180,5.8641375508028743e+23,1.7959823724707957e+24
19,190,5.912250043194165e+23,1.7961942382257458e+24
20,200,5.9337361877742115e+23,1.7957942799192457e+24
21,210,5.8971842996861375e+23,1.7947748581370303e+24
22,220,5.9289883169788375e+23,1.794735647712717e+24
23,230,5.92034670573439e+23,1.7948083167216583e+24
24,240,5.8703852349098215e+23,1.7947581475459884e+24
25,250,5.92228976422893e+23,1.7940123211921737e+24
26,260,5.905016238419118e+23,1.7939476402896273e+24
27,270,5.911874757500973e+23,1.7927932628938534e+24
28,280,5.881499999643628e+23,1.7932535434042198e+24
29,290,5.906218314504998e+23,1.793086868065257e+24
30,300,5.9031093679124254e+23,1.7932837471670757e+24
31,310,5.8813065274455094e+23,1.7929205637646446e+24
32,320,5.920677622618007e+23,1.793146884260026e+24
33,330,5.874164636676159e+23,1.793233559729114e+24
34,340,5.901492152713101e+23,1.792623896739177e+24
35,350,5.92925113183255e+23,1.7938102284003862e+24
36,360,5.892792964000807e+23,1.7926274276879845e+24
37,370,5.9063912062427436e+23,1.7931802328260843e+24
38,380,5.919877384519519e+23,1.7922811502365092e+24
39,390,5.914047465879982e+23,1.7939608140614445e+24
40,400,5.918640096166583e+23,1.793408922818302e+24
41,410,5.924454305182218e+23,1.7936892348788349e+24
42,420,5.905902883873316e+23,1.794329092187833e+24
43,430,5.9245975126955415e+23,1.7944550679056392e+24
44,440,5.895390096135839e+23,1.7948604946451268e+24
45,450,5.935322929757154e+23,1.7951936532858809e+24
46,460,5.925867494357287e+23,1.7943550365220974e+24
47,470,5.9041057530403743e+23,1.794770761897813e+24
48,480,5.92430004216112e+23,1.7950472364229005e+24
49,490,5.915805431457716e+23,1.7950633344558282e+24
