,epoch,loss
0,0,1.03072297138529e+25
1,10,1.0334857021894177e+25
2,20,1.035596599459988e+25
3,30,1.0369671945928064e+25
4,40,1.0331582099340241e+25
5,50,1.0344106564945963e+25
6,60,1.0315117938385854e+25
7,70,1.0333633263035143e+25
8,80,1.031250538004621e+25
9,90,1.028129880709744e+25
10,100,1.0220617130299154e+25
11,110,1.0014894658503119e+25
12,120,9.931425536824536e+24
13,130,9.803581869576068e+24
14,140,9.78462479138614e+24
15,150,9.604728769233046e+24
16,160,9.514530638709445e+24
17,170,9.333008552902764e+24
18,180,9.483741666420894e+24
19,190,9.338741077828897e+24
20,200,9.325735720641523e+24
21,210,9.124875243890037e+24
22,220,8.883525903044994e+24
23,230,8.821449515570191e+24
24,240,8.786934873061051e+24
25,250,8.740805704353292e+24
26,260,8.622095442987812e+24
27,270,8.488570268890608e+24
28,280,8.56454011963264e+24
29,290,8.440553181032321e+24
30,300,8.593760918097488e+24
31,310,8.602707643006872e+24
32,320,8.44359277152281e+24
33,330,8.575127974672655e+24
34,340,8.702996556227074e+24
35,350,8.604226219878424e+24
36,360,8.238490680693198e+24
37,370,8.537938918675212e+24
38,380,8.437788963100261e+24
39,390,8.719747978260012e+24
40,400,8.524800766004714e+24
41,410,8.5500431591911e+24
42,420,8.420624369494876e+24
43,430,8.464226079995601e+24
44,440,8.214156957267816e+24
45,450,8.447407492459373e+24
46,460,8.530373428923586e+24
47,470,8.659169774706781e+24
48,480,8.50224089147362e+24
49,490,8.614810973917498e+24
