,epoch,train,val
0,0,5.207326188388335e+23,2.721841891914019e+24
1,10,5.238562622200783e+23,2.7218418919139646e+24
2,20,5.2126185634008564e+23,2.7218418919139426e+24
3,30,5.179419211174405e+23,2.7218418919139335e+24
4,40,5.220731577186098e+23,2.721841891913818e+24
5,50,5.254011596517922e+23,2.7218418919137456e+24
6,60,5.228461844558231e+23,2.7218418919137144e+24
7,70,5.235236220579389e+23,2.7218418919137155e+24
8,80,5.141745335859656e+23,2.7218418919134073e+24
9,90,5.235864580521615e+23,2.721841891913433e+24
