,epoch,train,val
0,0,5.195462821335123e+23,2.56266924207614e+24
1,10,5.166501605966993e+23,2.543681331483687e+24
2,20,4.889434917132451e+23,2.3879410874454084e+24
3,30,4.325489883465087e+23,2.1088065942194963e+24
4,40,4.235182423765118e+23,1.8832539827638782e+24
5,50,4.140635455743641e+23,1.9640943692146929e+24
6,60,4.145142728214592e+23,1.9836737059179706e+24
7,70,4.154297092638168e+23,2.0123258588503288e+24
8,80,4.216762287470321e+23,1.884802895144074e+24
9,90,4.202319756197747e+23,1.9680825841547146e+24
