,epoch,train,val
0,0,5.9145614697833e+23,1.9165609569855934e+24
1,10,5.954717838240273e+23,1.9165609770693877e+24
2,20,5.953923826362333e+23,1.9165609720319781e+24
3,30,5.922692405959441e+23,1.9165609802250556e+24
4,40,5.929426791349011e+23,1.916560949912659e+24
5,50,5.9707254534325704e+23,1.9165609538763547e+24
6,60,5.9590123143068275e+23,1.916560950087453e+24
7,70,5.9527097934612033e+23,1.9165609593500535e+24
8,80,5.919185568383765e+23,1.9165609116855002e+24
9,90,5.967906225110636e+23,1.9165609262639334e+24
