,epoch,train,val
0,0,5.32020236518271e+23,2.2120351390942153e+24
1,10,5.2888574295969215e+23,2.2120351390929725e+24
2,20,5.3086774435979545e+23,2.2120351390904723e+24
3,30,5.300435003595632e+23,2.212035139082181e+24
4,40,5.29344955391588e+23,2.212035139059207e+24
5,50,5.3119437886721656e+23,2.2120351390291278e+24
6,60,5.294952542785288e+23,2.2120351389619062e+24
7,70,5.2415435711523407e+23,2.2120351388911914e+24
8,80,5.298489699608534e+23,2.2120351387563294e+24
9,90,5.299063882987814e+23,2.2120351387001118e+24
